longitude,latitude,sequential_number,district,address,street_address,lot_size,indication_use,building_structure,shape_category,width_ratio,depth_ratio,floor_above_ground,floor_underground,front_road_classification,direction_front_road,front_road_width,side_road_classification,directional_classification_side_road,proximity_traffic_facilities,current_status_land_surrounding_area,station_name,station_distance,purpose_classification,fire_prevention_category,urban_planning_classification,high_altitude_district,forestry_classification,park_classification,building_land_ratio,floor_area_ratio,percentage_change_previous_year,seireki,price
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2022,5380
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2021,5470
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2020,5550
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2019,5600
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2018,5650
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2017,5650
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2016,5650
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2015,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2014,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2013,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2012,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2011,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2010,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2009,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2008,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2007,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2006,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2005,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2004,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2003,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2002,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2001,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,2000,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,1999,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,1998,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,1997,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,1996,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,1995,0
141.4250269,38.4264781,5,女川,宮城県　牡鹿郡女川町針浜字針浜１４１番,_,672,_,W,不整形,10,30,2,0,町道,南西,62,_,_,_,農家住宅、水産加工場等が見られる地域,浦宿,1500,_,_,調区,0,_,_,70,200,-1.6,1994,0
