longitude,latitude,sequential_number,district,address,street_address,lot_size,indication_use,building_structure,shape_category,width_ratio,depth_ratio,floor_above_ground,floor_underground,front_road_classification,direction_front_road,front_road_width,side_road_classification,directional_classification_side_road,proximity_traffic_facilities,current_status_land_surrounding_area,station_name,station_distance,purpose_classification,fire_prevention_category,urban_planning_classification,high_altitude_district,forestry_classification,park_classification,building_land_ratio,floor_area_ratio,percentage_change_previous_year,seireki,price
140.1382931,39.7131061,1,秋田,秋田県　秋田市東通５丁目１２番５,東通５−１２−８,281,_,W,_,15,10,2,0,市道,東,60,_,_,_,中規模一般住宅、アパート等が混在する住宅地域,秋田,1100,2中専,_,市街化,0,_,_,60,200,3.6,2022,69200
140.1382931,39.7131061,1,秋田,秋田県　秋田市東通５丁目１２番５,東通５−１２−８,281,_,W,_,15,10,2,0,市道,東,60,_,_,_,中規模一般住宅、アパート等が混在する住宅地域,秋田,1100,2中専,_,市街化,0,_,_,60,200,3.6,2021,66800
140.1382931,39.7131061,1,秋田,秋田県　秋田市東通５丁目１２番５,東通５−１２−８,281,_,W,_,15,10,2,0,市道,東,60,_,_,_,中規模一般住宅、アパート等が混在する住宅地域,秋田,1100,2中専,_,市街化,0,_,_,60,200,3.6,2020,64700
140.1382931,39.7131061,1,秋田,秋田県　秋田市東通５丁目１２番５,東通５−１２−８,281,_,W,_,15,10,2,0,市道,東,60,_,_,_,中規模一般住宅、アパート等が混在する住宅地域,秋田,1100,2中専,_,市街化,0,_,_,60,200,3.6,2019,62100
140.1382931,39.7131061,1,秋田,秋田県　秋田市東通５丁目１２番５,東通５−１２−８,281,_,W,_,15,10,2,0,市道,東,60,_,_,_,中規模一般住宅、アパート等が混在する住宅地域,秋田,1100,2中専,_,市街化,0,_,_,60,200,3.6,2018,59300
140.1382931,39.7131061,1,秋田,秋田県　秋田市東通５丁目１２番５,東通５−１２−８,281,_,W,_,15,10,2,0,市道,東,60,_,_,_,中規模一般住宅、アパート等が混在する住宅地域,秋田,1100,2中専,_,市街化,0,_,_,60,200,3.6,2017,58100
140.1382931,39.7131061,1,秋田,秋田県　秋田市東通５丁目１２番５,東通５−１２−８,281,_,W,_,15,10,2,0,市道,東,60,_,_,_,中規模一般住宅、アパート等が混在する住宅地域,秋田,1100,2中専,_,市街化,0,_,_,60,200,3.6,2016,57700
140.1382931,39.7131061,1,秋田,秋田県　秋田市東通５丁目１２番５,東通５−１２−８,281,_,W,_,15,10,2,0,市道,東,60,_,_,_,中規模一般住宅、アパート等が混在する住宅地域,秋田,1100,2中専,_,市街化,0,_,_,60,200,3.6,2015,57700
140.1382931,39.7131061,1,秋田,秋田県　秋田市東通５丁目１２番５,東通５−１２−８,281,_,W,_,15,10,2,0,市道,東,60,_,_,_,中規模一般住宅、アパート等が混在する住宅地域,秋田,1100,2中専,_,市街化,0,_,_,60,200,3.6,2014,58900
140.1382931,39.7131061,1,秋田,秋田県　秋田市東通５丁目１２番５,東通５−１２−８,281,_,W,_,15,10,2,0,市道,東,60,_,_,_,中規模一般住宅、アパート等が混在する住宅地域,秋田,1100,2中専,_,市街化,0,_,_,60,200,3.6,2013,61400
