longitude,latitude,sequential_number,district,address,street_address,lot_size,indication_use,building_structure,shape_category,width_ratio,depth_ratio,floor_above_ground,floor_underground,front_road_classification,direction_front_road,front_road_width,side_road_classification,directional_classification_side_road,proximity_traffic_facilities,current_status_land_surrounding_area,station_name,station_distance,purpose_classification,fire_prevention_category,urban_planning_classification,high_altitude_district,forestry_classification,park_classification,building_land_ratio,floor_area_ratio,percentage_change_previous_year,seireki,price
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2022,16800
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2021,17000
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2020,17300
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2019,17400
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2018,17600
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2017,17800
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2016,18200
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2015,18700
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2014,19400
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2013,20500
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2012,22100
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2011,23900
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2010,25800
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2009,27700
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2008,29300
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2007,30700
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2006,32100
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2005,33700
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2004,35200
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2003,36800
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2002,37000
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2001,37000
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,2000,37000
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1999,37000
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1998,37000
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1997,37000
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1996,37000
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1995,37000
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1994,0
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1993,0
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1992,0
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1991,0
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1990,0
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1989,0
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1988,0
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1987,0
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1986,0
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1985,0
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1984,0
140.7671011,40.7798231,1,青森,青森県　青森市大字野尻字今田１番１０,_,209,_,W,_,10,15,2,0,市道,東,65,_,_,_,中規模一般住宅等が多い郊外の住宅地域,青森,6900,_,_,調区,0,_,_,70,200,-1.2,1983,0
140.6985139,40.8280589,2,青森,青森県　青森市大字石江字岡部１６４番１０外,_,198,_,W,_,10,10,2,0,市道,西,65,_,_,_,一般住宅にアパートが混在する住宅地域,新青森,500,1低専,_,市街化,0,_,_,50,80,0,2022,40200
140.6985139,40.8280589,2,青森,青森県　青森市大字石江字岡部１６４番１０外,_,198,_,W,_,10,10,2,0,市道,西,65,_,_,_,一般住宅にアパートが混在する住宅地域,新青森,500,1低専,_,市街化,0,_,_,50,80,0,2021,40200
140.6985139,40.8280589,2,青森,青森県　青森市大字石江字岡部１６４番１０外,_,198,_,W,_,10,10,2,0,市道,西,65,_,_,_,一般住宅にアパートが混在する住宅地域,新青森,500,1低専,_,市街化,0,_,_,50,80,0,2020,40400
140.6985139,40.8280589,2,青森,青森県　青森市大字石江字岡部１６４番１０外,_,198,_,W,_,10,10,2,0,市道,西,65,_,_,_,一般住宅にアパートが混在する住宅地域,新青森,500,1低専,_,市街化,0,_,_,50,80,0,2019,40400
140.6985139,40.8280589,2,青森,青森県　青森市大字石江字岡部１６４番１０外,_,198,_,W,_,10,10,2,0,市道,西,65,_,_,_,一般住宅にアパートが混在する住宅地域,新青森,500,1低専,_,市街化,0,_,_,50,80,0,2018,40400
140.6985139,40.8280589,2,青森,青森県　青森市大字石江字岡部１６４番１０外,_,198,_,W,_,10,10,2,0,市道,西,65,_,_,_,一般住宅にアパートが混在する住宅地域,新青森,500,1低専,_,市街化,0,_,_,50,80,0,2017,40500
140.6985139,40.8280589,2,青森,青森県　青森市大字石江字岡部１６４番１０外,_,198,_,W,_,10,10,2,0,市道,西,65,_,_,_,一般住宅にアパートが混在する住宅地域,新青森,500,1低専,_,市街化,0,_,_,50,80,0,2016,40900
140.6985139,40.8280589,2,青森,青森県　青森市大字石江字岡部１６４番１０外,_,198,_,W,_,10,10,2,0,市道,西,65,_,_,_,一般住宅にアパートが混在する住宅地域,新青森,500,1低専,_,市街化,0,_,_,50,80,0,2015,41400
140.6985139,40.8280589,2,青森,青森県　青森市大字石江字岡部１６４番１０外,_,198,_,W,_,10,10,2,0,市道,西,65,_,_,_,一般住宅にアパートが混在する住宅地域,新青森,500,1低専,_,市街化,0,_,_,50,80,0,2014,42400
140.6985139,40.8280589,2,青森,青森県　青森市大字石江字岡部１６４番１０外,_,198,_,W,_,10,10,2,0,市道,西,65,_,_,_,一般住宅にアパートが混在する住宅地域,新青森,500,1低専,_,市街化,0,_,_,50,80,0,2013,43900
140.6985139,40.8280589,2,青森,青森県　青森市大字石江字岡部１６４番１０外,_,198,_,W,_,10,10,2,0,市道,西,65,_,_,_,一般住宅にアパートが混在する住宅地域,新青森,500,1低専,_,市街化,0,_,_,50,80,0,2012,45800
140.6985139,40.8280589,2,青森,青森県　青森市大字石江字岡部１６４番１０外,_,198,_,W,_,10,10,2,0,市道,西,65,_,_,_,一般住宅にアパートが混在する住宅地域,新青森,500,1低専,_,市街化,0,_,_,50,80,0,2011,47700
