longitude,latitude,sequential_number,district,address,street_address,lot_size,indication_use,building_structure,shape_category,width_ratio,depth_ratio,floor_above_ground,floor_underground,front_road_classification,direction_front_road,front_road_width,side_road_classification,directional_classification_side_road,proximity_traffic_facilities,current_status_land_surrounding_area,station_name,station_distance,purpose_classification,fire_prevention_category,urban_planning_classification,high_altitude_district,forestry_classification,park_classification,building_land_ratio,floor_area_ratio,percentage_change_previous_year,seireki,price
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2022,146000
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2021,145000
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2020,147000
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2019,139000
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2018,135000
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2017,131000
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2016,128000
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2015,125000
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2014,124000
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2013,123000
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2012,0
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2011,0
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2010,0
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2009,0
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2008,0
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2007,0
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2006,0
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2005,0
136.6660811,36.5569681,1,金沢,石川県　金沢市石引４丁目３６４番,石引４−１４−２４,332,_,S,_,10,15,2,0,市道,北西,60,_,_,_,大規模な住宅が建ち並ぶ閑静な住宅地域,金沢,3500,1住居,_,市街化,0,_,_,60,200,0.7,2004,0
